Unnamed: 0,name,statement,difficulty,topics,tests_input_output,normalized_input,expected_output,python_stub,cpp_stub,java_stub,hidden_py_header,hidden_py_footer,hidden_cpp_header,hidden_cpp_footer,hidden_java_header,hidden_java_footer
45,Add Binary,"Given two binary strings a and b, return their sum as a binary string.
Example 1:
Input: a = ""11"", b = ""1""
Output: ""100""
Example 2:
Input: a = ""1010"", b = ""1011""
Output: ""10101""
Constraints:
1 <= a.length, b.length <= 10^4
a and b consist only of '0' or '1' characters.
Each string does not contain leading zeros except for the zero itself.",Easy,"Math, String, Bit Manipulation, Simulation","Test Case 1:
Input: a = ""11"", b = ""1""
Output: ""100""

Test Case 2:
Input: a = ""1010"", b = ""1011""
Output: ""10101""","11
1

1010
1011","100
10101","class Solution:
    def addBinary(self, a: str, b: str) -> str:
        ","class Solution {
public:
    string addBinary(string a, string b) {
        
    }
};","class Solution {
    public String addBinary(String a, String b) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    a = data[line_idx]
    line_idx += 1
    b = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.addBinary(a, b)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string a;
    if (!(cin >> a)) return 0;
    string b;
    if (!(cin >> b)) return 0;

    Solution sol;
    string ans = sol.addBinary(a, b);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String a = br.readLine();
        String b = br.readLine();

        Solution sol = new Solution();
        String ans = sol.addBinary(a, b);
        System.out.print(ans);
        System.out.println();
    }
}"
46,Sqrt(x),"Given a non-negative integer x, return the square root of x rounded down to the nearest integer. The returned integer should be non-negative as well.
You must not use any built-in exponent function or operator.
For example, do not use pow(x, 0.5) in c++ or x ** 0.5 in python.
Example 1:
Input: x = 4
Output: 2
Explanation: The square root of 4 is 2, so we return 2.
Example 2:
Input: x = 8
Output: 2
Explanation: The square root of 8 is 2.82842..., and since we round it down to the nearest integer, 2 is returned.
Constraints:
0 <= x <= 2^31 - 1",Easy,"Math, Binary Search","Test Case 1:
Input: x = 4
Output: 2
Explanation: The square root of 4 is 2, so we return 2.

Test Case 2:
Input: x = 8
Output: 2
Explanation: The square root of 8 is 2.82842..., and since we round it down to the nearest integer, 2 is returned.","4

8","2
2","class Solution:
    def mySqrt(self, x: int) -> int:
        ","class Solution {
public:
    int mySqrt(int x) {
        
    }
};","class Solution {
    public int mySqrt(int x) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    x = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.mySqrt(x)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int x;
    if (!(cin >> x)) return 0;

    Solution sol;
    auto ans = sol.mySqrt(x);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int x = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        var ans = sol.mySqrt(x);
        System.out.print(ans);
        System.out.println();
    }
}"
47,Climbing Stairs,"You are climbing a staircase. It takes n steps to reach the top.
Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top?
Example 1:
Input: n = 2
Output: 2
Explanation: There are two ways to climb to the top. 1. 1 step + 1 step 2. 2 steps
Example 2:
Input: n = 3
Output: 3
Explanation: There are three ways to climb to the top. 
1. 1 step + 1 step + 1 step 
2. 1 step + 2 steps 
3. 2 steps + 1 step
Constraints:
1 <= n <= 45",Easy,"Math, Dynamic Programming, Memoization","Test Case 1:
Input: n = 2
Output: 2
Explanation: There are two ways to climb to the top.
1. 1 step + 1 step
2. 2 steps

Test Case 2:
Input: n = 3
Output: 3
Explanation: There are three ways to climb to the top.
1. 1 step + 1 step + 1 step
2. 1 step + 2 steps
3. 2 steps + 1 step","2

3","2
3","class Solution:
    def climbStairs(self, n: int) -> int:
        ","class Solution {
public:
    int climbStairs(int n) {
        
    }
};","class Solution {
    public int climbStairs(int n) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.climbStairs(n)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n;
    if (!(cin >> n)) return 0;

    Solution sol;
    auto ans = sol.climbStairs(n);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        var ans = sol.climbStairs(n);
        System.out.print(ans);
        System.out.println();
    }
}"
48,Edit Distance,"Given two strings word1 and word2, return the minimum number of operations required to convert word1 to word2.
You have the following three operations permitted on a word:
Insert a character
Delete a character
Replace a character
Example 1:
Input: word1 = ""horse"", word2 = ""ros""
Output: 3
Explanation:
horse -> rorse (replace 'h' with 'r') rorse -> rose (remove 'r') rose -> ros (remove 'e')
Example 2:
Input: word1 = ""intention"", word2 = ""execution""
Output: 5
Explanation:
intention -> inention (remove 't') inention -> enention (replace 'i' with 'e') enention -> exention (replace 'n' with 'x') exention -> exection (replace 'n' with 'c') exection -> execution (insert 'u')
Constraints:
0 <= word1.length, word2.length <= 500
word1 and word2 consist of lowercase English letters.",Medium,"String, Dynamic Programming","Test Case 1:
Input: word1 = ""horse"", word2 = ""ros""
Output: 3
Explanation: 
horse -> rorse (replace 'h' with 'r')
rorse -> rose (remove 'r')
rose -> ros (remove 'e')

Test Case 2:
Input: word1 = ""intention"", word2 = ""execution""
Output: 5
Explanation: 
intention -> inention (remove 't')
inention -> enention (replace 'i' with 'e')
enention -> exention (replace 'n' with 'x')
exention -> exection (replace 'n' with 'c')
exection -> execution (insert 'u')","horse
ros

intention
execution","3
5","class Solution:
    def minDistance(self, word1: str, word2: str) -> int:
        ","class Solution {
public:
    int minDistance(string word1, string word2) {
        
    }
};","class Solution {
    public int minDistance(String word1, String word2) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    word1 = data[line_idx]
    line_idx += 1
    word2 = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.minDistance(word1, word2)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string word1;
    if (!(cin >> word1)) return 0;
    string word2;
    if (!(cin >> word2)) return 0;

    Solution sol;
    auto ans = sol.minDistance(word1, word2);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String word1 = br.readLine();
        String word2 = br.readLine();

        Solution sol = new Solution();
        var ans = sol.minDistance(word1, word2);
        System.out.print(ans);
        System.out.println();
    }
}"
49,Set Matrix Zeroes,"Given an m x n integer matrix matrix, if an element is 0, set its entire row and column to 0 's.
You must do it in place.
Example 1:
Input: matrix = [[1,1,1],[1,0,1],[1,1,1]]
Output: [[1,0,1],[0,0,0],[1,0,1]]
Example 2:
Input: matrix = [[0,1,2,0],[3,4,5,2],[1,3,1,5]]
Output: [[0,0,0,0],[0,4,5,0],[0,3,1,0]]
Constraints:
m == matrix.length
n == matrix[0].length
1 <= m, n <= 200
-2^31 <= matrix[i][j] <= 2^31 - 1
Follow up:
A straightforward solution using O(mn) space is probably a bad idea.
A simple improvement uses O(m + n) space, but still not the best solution.
Could you devise a constant space solution?",Medium,"Array, Hash Table, Matrix","Test Case 1:
Input: matrix = [[1,1,1],[1,0,1],[1,1,1]]
Output: [[1,0,1],[0,0,0],[1,0,1]]

Test Case 2:
Input: matrix = [[0,1,2,0],[3,4,5,2],[1,3,1,5]]
Output: [[0,0,0,0],[0,4,5,0],[0,3,1,0]]","3 3
1 1 1
1 0 1
1 1 1

3 4
0 1 2 0
3 4 5 2
1 3 1 5","[[1,0,1],[0,0,0],[1,0,1]]
[[0,0,0,0],[0,4,5,0],[0,3,1,0]]","class Solution:
    def setZeroes(self, matrix: List[List[int]]) -> None:
        """"""
        Do not return anything, modify matrix in-place instead.
        """"""
        ","class Solution {
public:
    void setZeroes(vector<vector<int>>& matrix) {
        
    }
};","class Solution {
    public void setZeroes(int[][] matrix) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_matrix = int(data[line_idx])
    line_idx += 1
    matrix = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.setZeroes(matrix)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int m_matrix, n_matrix;
    if (!(cin >> m_matrix >> n_matrix)) return 0;
    vector<vector<int>> matrix(m_matrix, vector<int>(n_matrix));
    for (int i = 0; i < m_matrix; ++i) {
        for (int j = 0; j < n_matrix; ++j) {
            cin >> matrix[i][j];
        }
    }

    Solution sol;
    sol.setZeroes(matrix);
    cout << '[';
    for (size_t i = 0; i < matrix.size(); ++i) {
        cout << '[';
        for (size_t j = 0; j < matrix[i].size(); ++j) {
            cout << matrix[i][j] << (j + 1 == matrix[i].size() ? ']' : ',');
        }
        cout << (i + 1 == matrix.size() ? ']' : ',');
    }
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_matrix = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] matrix = new int[n_matrix];
        for (int i = 0; i < n_matrix; i++) {
            matrix[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        sol.setZeroes(matrix);
        System.out.println();
    }
}"
50,Search a 2D Matrix,"You are given an m x n integer matrix matrix with the following two properties:
Each row is sorted in non-decreasing order.
The first integer of each row is greater than the last integer of the previous row.
Given an integer target, return true
if
target
is in
matrix
or
false
otherwise.
You must write a solution in O(log(m * n)) time complexity.
Example 1:
Input: matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 3
Output: true
Example 2:
Input: matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 13
Output: false
Constraints:
m == matrix.length
n == matrix[i].length
1 <= m, n <= 100
-10^4 <= matrix[i][j], target <= 10^4",Medium,"Array, Binary Search, Matrix","Test Case 1:
Input: matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 3
Output: true

Test Case 2:
Input: matrix = [[1,3,5,7],[10,11,16,20],[23,30,34,60]], target = 13
Output: false","3 4
1 3 5 7
10 11 16 20
23 30 34 60
3

3 4
1 3 5 7
10 11 16 20
23 30 34 60
13","true
false","class Solution:
    def searchMatrix(self, matrix: List[List[int]], target: int) -> bool:
        ","class Solution {
public:
    bool searchMatrix(vector<vector<int>>& matrix, int target) {
        
    }
};","class Solution {
    public boolean searchMatrix(int[][] matrix, int target) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_matrix = int(data[line_idx])
    line_idx += 1
    matrix = list(map(int, data[line_idx].split()))
    line_idx += 1
    target = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.searchMatrix(matrix, target)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int m_matrix, n_matrix;
    if (!(cin >> m_matrix >> n_matrix)) return 0;
    vector<vector<int>> matrix(m_matrix, vector<int>(n_matrix));
    for (int i = 0; i < m_matrix; ++i) {
        for (int j = 0; j < n_matrix; ++j) {
            cin >> matrix[i][j];
        }
    }
    int target;
    if (!(cin >> target)) return 0;

    Solution sol;
    bool ans = sol.searchMatrix(matrix, target);
    cout << (ans ? ""true"" : ""false"");
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_matrix = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] matrix = new int[n_matrix];
        for (int i = 0; i < n_matrix; i++) {
            matrix[i] = Integer.parseInt(st.nextToken());
        }
        int target = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        boolean ans = sol.searchMatrix(matrix, target);
        System.out.print(ans ? ""true"" : ""false"");
        System.out.println();
    }
}"
51,Sort Colors,"Given an array nums with n objects colored red, white, or blue, sort them in-place
so that objects of the same color are adjacent, with the colors in the order red, white, and blue.
We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively.
You must solve this problem without using the library's sort function.
Example 1:
Input: nums = [2,0,2,1,1,0]
Output: [0,0,1,1,2,2]
Example 2:
Input: nums = [2,0,1]
Output: [0,1,2]
Constraints:
n == nums.length
1 <= n <= 300
nums[i] is either 0, 1, or 2.
Follow up: Could you come up with a one-pass algorithm using only constant extra space?",Medium,"Array, Two Pointers, Sorting","Test Case 1:
Input: nums = [2,0,2,1,1,0]
Output: [0,0,1,1,2,2]

Test Case 2:
Input: nums = [2,0,1]
Output: [0,1,2]","6
2 0 2 1 1 0

3
2 0 1","[0,0,1,1,2,2]
[0,1,2]","class Solution:
    def sortColors(self, nums: List[int]) -> None:
        """"""
        Do not return anything, modify nums in-place instead.
        """"""
        ","class Solution {
public:
    void sortColors(vector<int>& nums) {
        
    }
};","class Solution {
    public void sortColors(int[] nums) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_nums = int(data[line_idx])
    line_idx += 1
    nums = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.sortColors(nums)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_nums;
    if (!(cin >> n_nums)) return 0;
    vector<int> nums(n_nums);
    for (int i = 0; i < n_nums; ++i) cin >> nums[i];

    Solution sol;
    sol.sortColors(nums);
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_nums = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums = new int[n_nums];
        for (int i = 0; i < n_nums; i++) {
            nums[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        sol.sortColors(nums);
        System.out.println();
    }
}"
52,Minimum Window Substring,"Given two strings s and t of lengths m and n respectively, return the minimum window
substring of s such that every character in t ( including duplicates ) is included in the window. If there is no such substring, return the empty string """".
The testcases will be generated such that the answer is unique.
Example 1:
Input: s = ""ADOBECODEBANC"", t = ""ABC""
Output: ""BANC""
Explanation: The minimum window substring ""BANC"" includes 'A', 'B', and 'C' from string t.
Example 2:
Input: s = ""a"", t = ""a""
Output: ""a""
Explanation: The entire string s is the minimum window.
Example 3:
Input: s = ""a"", t = ""aa""
Output: """"
Explanation: Both 'a's from t must be included in the window. Since the largest window of s only has one 'a', return empty string.
Constraints:
m == s.length
n == t.length
1 <= m, n <= 10^5
s and t consist of uppercase and lowercase English letters.
Follow up: Could you find an algorithm that runs in O(m + n) time?",Hard,"Hash Table, String, Sliding Window","Test Case 1:
Input: s = ""ADOBECODEBANC"", t = ""ABC""
Output: ""BANC""
Explanation: The minimum window substring ""BANC"" includes 'A', 'B', and 'C' from string t.

Test Case 2:
Input: s = ""a"", t = ""a""
Output: ""a""
Explanation: The entire string s is the minimum window.

Test Case 3:
Input: s = ""a"", t = ""aa""
Output: """"
Explanation: Both 'a's from t must be included in the window.
Since the largest window of s only has one 'a', return empty string.","ADOBECODEBANC
ABC

a
a

a
aa","BANC
a
","class Solution:
    def minWindow(self, s: str, t: str) -> str:
        ","class Solution {
public:
    string minWindow(string s, string t) {
        
    }
};","class Solution {
    public String minWindow(String s, String t) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    s = data[line_idx]
    line_idx += 1
    t = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.minWindow(s, t)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string s;
    if (!(cin >> s)) return 0;
    string t;
    if (!(cin >> t)) return 0;

    Solution sol;
    string ans = sol.minWindow(s, t);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String s = br.readLine();
        String t = br.readLine();

        Solution sol = new Solution();
        String ans = sol.minWindow(s, t);
        System.out.print(ans);
        System.out.println();
    }
}"
53,Combinations,"Given two integers n and k, return all possible combinations of k numbers chosen from the range [1, n].
You may return the answer in any order.
Example 1:
Input: n = 4, k = 2
Output: [[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]
Explanation: There are 4 choose 2 = 6 total combinations. Note that combinations are unordered, i.e., [1,2] and [2,1] are considered to be the same combination.
Example 2:
Input: n = 1, k = 1
Output: [[1]]
Explanation: There is 1 choose 1 = 1 total combination.
Constraints:
1 <= n <= 20 
1 <= k <= n",Medium,Backtracking,"Test Case 1:
Input: n = 4, k = 2
Output: [[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]
Explanation: There are 4 choose 2 = 6 total combinations.
Note that combinations are unordered, i.e., [1,2] and [2,1] are considered to be the same combination.

Test Case 2:
Input: n = 1, k = 1
Output: [[1]]
Explanation: There is 1 choose 1 = 1 total combination.","4
2

1
1","[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]
[[1]]","class Solution:
    def combine(self, n: int, k: int) -> List[List[int]]:
        ","class Solution {
public:
    vector<vector<int>> combine(int n, int k) {
        
    }
};","class Solution {
    public List<List<Integer>> combine(int n, int k) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n = int(data[line_idx])
    line_idx += 1
    k = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.combine(n, k)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n;
    if (!(cin >> n)) return 0;
    int k;
    if (!(cin >> k)) return 0;

    Solution sol;
    vector<vector<int>> ans = sol.combine(n, k);
    cout << '[';
    for (size_t i = 0; i < ans.size(); ++i) {
        cout << '[';
        for (size_t j = 0; j < ans[i].size(); ++j) {
            cout << ans[i][j] << (j + 1 == ans[i].size() ? ']' : ',');
        }
        cout << (i + 1 == ans.size() ? ']' : ',');
    }
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n = Integer.parseInt(br.readLine());
        int k = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        int[] ans = sol.combine(n, k);
        System.out.print(""["");
        for (int i = 0; i < ans.length; i++) {
            System.out.print(ans[i] + (i == ans.length - 1 ? ""]"" : "",""));
        }
        System.out.println();
    }
}"
54,Subsets,"Given an integer array nums of unique elements, return all possible
subsets
(the power set).
The solution set must not contain duplicate subsets. Return the solution in any order.
Example 1:
Input: nums = [1,2,3]
Output: [[],[1],[2],[1,2],[3],[1,3],[2,3],[1,2,3]]
Example 2:
Input: nums = [0]
Output: [[],[0]]
Constraints:
1 <= nums.length <= 10
-10 <= nums[i] <= 10
All the numbers of nums are unique.",Medium,"Array, Backtracking, Bit Manipulation","Test Case 1:
Input: nums = [1,2,3]
Output: [[],[1],[2],[1,2],[3],[1,3],[2,3],[1,2,3]]

Test Case 2:
Input: nums = [0]
Output: [[],[0]]","3
1 2 3

1
0","[[],[1],[2],[1,2],[3],[1,3],[2,3],[1,2,3]]
[[],[0]]","class Solution:
    def subsets(self, nums: List[int]) -> List[List[int]]:
        ","class Solution {
public:
    vector<vector<int>> subsets(vector<int>& nums) {
        
    }
};","class Solution {
    public List<List<Integer>> subsets(int[] nums) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_nums = int(data[line_idx])
    line_idx += 1
    nums = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.subsets(nums)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_nums;
    if (!(cin >> n_nums)) return 0;
    vector<int> nums(n_nums);
    for (int i = 0; i < n_nums; ++i) cin >> nums[i];

    Solution sol;
    vector<vector<int>> ans = sol.subsets(nums);
    cout << '[';
    for (size_t i = 0; i < ans.size(); ++i) {
        cout << '[';
        for (size_t j = 0; j < ans[i].size(); ++j) {
            cout << ans[i][j] << (j + 1 == ans[i].size() ? ']' : ',');
        }
        cout << (i + 1 == ans.size() ? ']' : ',');
    }
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_nums = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums = new int[n_nums];
        for (int i = 0; i < n_nums; i++) {
            nums[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        int[] ans = sol.subsets(nums);
        System.out.print(""["");
        for (int i = 0; i < ans.length; i++) {
            System.out.print(ans[i] + (i == ans.length - 1 ? ""]"" : "",""));
        }
        System.out.println();
    }
}"
55,Word Search,"Given an m x n grid of characters board and a string word, return true if word exists in the grid.
The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.
Example 1:
Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""ABCCED""
Output: true
Example 2:
Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""SEE""
Output: true
Example 3:
Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""ABCB""
Output: false
Constraints:
m == board.length
n = board[i].length
1 <= m, n <= 6
1 <= word.length <= 15
board and word consists of only lowercase and uppercase English letters.
Follow up: Could you use search pruning to make your solution faster with a larger board ?",Medium,"Array, String, Backtracking, Depth-First Search, Matrix","Test Case 1:
Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""ABCCED""
Output: true

Test Case 2:
Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""SEE""
Output: true

Test Case 3:
Input: board = [[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]], word = ""ABCB""
Output: false","[[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]]
ABCCED

[[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]]
SEE

[[""A"",""B"",""C"",""E""],[""S"",""F"",""C"",""S""],[""A"",""D"",""E"",""E""]]
ABCB","true
true
false","class Solution:
    def exist(self, board: List[List[str]], word: str) -> bool:
        ","class Solution {
public:
    bool exist(vector<vector<char>>& board, string word) {
        
    }
};","class Solution {
    public boolean exist(char[][] board, String word) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    board = data[line_idx]
    line_idx += 1
    word = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.exist(board, word)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string board;
    if (!(cin >> board)) return 0;
    string word;
    if (!(cin >> word)) return 0;

    Solution sol;
    bool ans = sol.exist(board, word);
    cout << (ans ? ""true"" : ""false"");
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String board = br.readLine();
        String word = br.readLine();

        Solution sol = new Solution();
        boolean ans = sol.exist(board, word);
        System.out.print(ans ? ""true"" : ""false"");
        System.out.println();
    }
}"
