id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,experience_level,tags,keywords,source,created_date
104,Data Structures & Algorithms,Sorting,Which property describes Quick Sort?,Stable and in-place,Stable but not in-place,Unstable but in-place,Unstable and not in-place,C,"Quick Sort is Unstable, in-place.",3,Mid,"sorting,algorithm_properties","quick sort,stable,in-place",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
105,Data Structures & Algorithms,Sorting,Which property describes Heap Sort?,Stable and in-place,Stable but not in-place,Unstable but in-place,Unstable and not in-place,C,"Heap Sort is Unstable, in-place.",4,Senior,"sorting,algorithm_properties","heap sort,stable,in-place",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
106,Data Structures & Algorithms,Sorting,Which property describes Counting Sort?,Stable and in-place,Stable but not in-place,Unstable but in-place,Unstable and not in-place,B,"Counting Sort is Stable, non-comparison.",4,Senior,"sorting,algorithm_properties","counting sort,stable,in-place",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
107,Data Structures & Algorithms,Sorting,Which property describes Radix Sort?,Stable and in-place,Stable but not in-place,Unstable but in-place,Unstable and not in-place,B,"Radix Sort is Stable, non-comparison.",4,Senior,"sorting,algorithm_properties","radix sort,stable,in-place",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
108,Data Structures & Algorithms,Trees,Which data structure does DFS primarily use?,Array,Stack,Queue,Hash Table,B,DFS uses Stack or recursion for Tree traversal.,3,Mid,"trees,traversal,algorithms","dfs,tree,traversal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
109,Data Structures & Algorithms,Trees,Which data structure does BFS primarily use?,Array,Stack,Queue,Hash Table,C,BFS uses Queue for Level-order traversal.,3,Mid,"trees,traversal,algorithms","bfs,tree,traversal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
110,Data Structures & Algorithms,Trees,Which data structure does Morris Traversal primarily use?,Array,Stack,Queue,Hash Table,A,Morris Traversal uses Threading for Space-efficient traversal.,3,Mid,"trees,traversal,algorithms","morris traversal,tree,traversal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
111,System Design,Scalability,What is the primary purpose of Load Balancer?,Data storage,Request distribution,Performance optimization,Security enhancement,A,Load Balancer Distributes requests across multiple servers for Horizontal scaling.,3,Mid,"system_design,scalability","load balancer,scalability,system design",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
112,System Design,Scalability,What is the primary purpose of Cache?,Data storage,Request distribution,Performance optimization,Security enhancement,A,Cache Stores frequently accessed data in memory for Performance optimization.,3,Mid,"system_design,scalability","cache,scalability,system design",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
113,System Design,Scalability,What is the primary purpose of CDN?,Data storage,Request distribution,Performance optimization,Security enhancement,A,CDN Distributes content geographically for Latency reduction.,3,Mid,"system_design,scalability","cdn,scalability,system design",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
114,System Design,Scalability,What is the primary purpose of Database Sharding?,Data storage,Request distribution,Performance optimization,Security enhancement,A,Database Sharding Partitions data across multiple databases for Database scaling.,3,Mid,"system_design,scalability","database sharding,scalability,system design",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
115,System Design,Scalability,What is the primary purpose of Message Queue?,Data storage,Request distribution,Performance optimization,Security enhancement,A,Message Queue Asynchronous communication between services for Decoupling.,3,Mid,"system_design,scalability","message queue,scalability,system design",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
116,Database Management,Database Design,What does ACID stand for or represent?,"Atomicity, Consistency, Isolation, Durability",Data encryption method,Network protocol,Programming paradigm,A,"ACID represents Atomicity, Consistency, Isolation, Durability for Transaction properties.",3,Mid,"database,concepts","acid,database",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
117,Database Management,Database Design,What does CAP Theorem stand for or represent?,"Consistency, Availability, Partition tolerance",Data encryption method,Network protocol,Programming paradigm,A,"CAP Theorem represents Consistency, Availability, Partition tolerance for Distributed system trade-offs.",3,Mid,"database,concepts","cap theorem,database",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
118,Database Management,Database Design,What does Normalization stand for or represent?,Reducing data redundancy,Data encryption method,Network protocol,Programming paradigm,A,Normalization represents Reducing data redundancy for Database design.,3,Mid,"database,concepts","normalization,database",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
119,Database Management,Database Design,What does Indexing stand for or represent?,Faster data retrieval,Data encryption method,Network protocol,Programming paradigm,A,Indexing represents Faster data retrieval for Query optimization.,3,Mid,"database,concepts","indexing,database",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
120,Database Management,Database Design,What does Replication stand for or represent?,Data copying across multiple nodes,Data encryption method,Network protocol,Programming paradigm,A,Replication represents Data copying across multiple nodes for Fault tolerance.,3,Mid,"database,concepts","replication,database",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
121,Programming Languages,Java,What is JVM in Java?,Java Virtual Machine executes bytecode,Compilation process,Network protocol,Database connection,A,JVM in Java provides Java Virtual Machine executes bytecode for Platform independence.,2,Entry,"java,concepts","java,jvm",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
122,Programming Languages,Java,What is Garbage Collection in Java?,Automatic memory management,Compilation process,Network protocol,Database connection,A,Garbage Collection in Java provides Automatic memory management for Memory optimization.,2,Entry,"java,concepts","java,garbage collection",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
123,Programming Languages,Java,What is Multithreading in Java?,Concurrent execution of threads,Compilation process,Network protocol,Database connection,A,Multithreading in Java provides Concurrent execution of threads for Performance improvement.,2,Entry,"java,concepts","java,multithreading",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
124,Programming Languages,Java,What is Collections Framework in Java?,Data structure implementations,Compilation process,Network protocol,Database connection,A,Collections Framework in Java provides Data structure implementations for Code reusability.,2,Entry,"java,concepts","java,collections framework",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
125,Programming Languages,Java,What is Exception Handling in Java?,Error management mechanism,Compilation process,Network protocol,Database connection,A,Exception Handling in Java provides Error management mechanism for Robust applications.,2,Entry,"java,concepts","java,exception handling",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
126,Programming Languages,Python,What is List Comprehension in Python?,Concise way to create lists,Error handling,Memory allocation,Network communication,A,List Comprehension provides Concise way to create lists for Code readability.,3,Mid,"python,concepts","python,list comprehension",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
127,Programming Languages,Python,What is Generator in Python?,Memory-efficient iteration,Error handling,Memory allocation,Network communication,A,Generator provides Memory-efficient iteration for Performance optimization.,3,Mid,"python,concepts","python,generator",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
128,Programming Languages,Python,What is Decorator in Python?,Function modification,Error handling,Memory allocation,Network communication,A,Decorator provides Function modification for Code reusability.,3,Mid,"python,concepts","python,decorator",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
129,Programming Languages,Python,What is Lambda Function in Python?,Anonymous function,Error handling,Memory allocation,Network communication,A,Lambda Function provides Anonymous function for Functional programming.,3,Mid,"python,concepts","python,lambda function",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
130,Programming Languages,Python,What is Multiple Inheritance in Python?,Inheriting from multiple classes,Error handling,Memory allocation,Network communication,A,Multiple Inheritance provides Inheriting from multiple classes for Code reuse.,3,Mid,"python,concepts","python,multiple inheritance",Carnegie Mellon SCS Programming Principles (cs.cmu.edu/academic/undergraduate),6/14/2025
131,Data Structures & Algorithms,Graph Algorithms,What is BFS primarily used for?,Sorting,Shortest path in unweighted graph,Matrix multiplication,String matching,B,BFS is specifically designed for Shortest path in unweighted graph.,3,Mid,"graph_algorithms,bfs","bfs,graph algorithm,shortest path in unweighted graph",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
132,Data Structures & Algorithms,Graph Algorithms,Which data structure does BFS primarily use?,Array,Stack,Queue,Queue,C,BFS uses Queue for efficient implementation.,3,Mid,"graph_algorithms,data_structures","bfs,queue",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
133,Data Structures & Algorithms,Graph Algorithms,What is DFS primarily used for?,Sorting,Topological sorting and cycle detection,Matrix multiplication,String matching,B,DFS is specifically designed for Topological sorting and cycle detection.,3,Mid,"graph_algorithms,dfs","dfs,graph algorithm,topological sorting and cycle detection",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
134,Data Structures & Algorithms,Graph Algorithms,Which data structure does DFS primarily use?,Array,Stack,Queue,Stack,B,DFS uses Stack for efficient implementation.,3,Mid,"graph_algorithms,data_structures","dfs,stack",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
135,Data Structures & Algorithms,Graph Algorithms,Which data structure does Dijkstra primarily use?,Array,Stack,Queue,Priority Queue,D,Dijkstra uses Priority Queue for efficient implementation.,3,Mid,"graph_algorithms,data_structures","dijkstra,priority queue",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
136,Data Structures & Algorithms,Graph Algorithms,What is Union-Find primarily used for?,Sorting,Connected components and cycle detection,Matrix multiplication,String matching,B,Union-Find is specifically designed for Connected components and cycle detection.,3,Mid,"graph_algorithms,union-find","union-find,graph algorithm,connected components and cycle detection",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
137,Data Structures & Algorithms,Graph Algorithms,Which data structure does Union-Find primarily use?,Array,Stack,Queue,Disjoint sets,D,Union-Find uses Disjoint sets for efficient implementation.,3,Mid,"graph_algorithms,data_structures","union-find,disjoint sets",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
138,Data Structures & Algorithms,Graph Algorithms,Which data structure does Kruskal primarily use?,Array,Stack,Queue,Edge sorting,D,Kruskal uses Edge sorting for efficient implementation.,3,Mid,"graph_algorithms,data_structures","kruskal,edge sorting",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
139,Data Structures & Algorithms,Graph Algorithms,Which data structure does Prim primarily use?,Array,Stack,Queue,Vertex selection,D,Prim uses Vertex selection for efficient implementation.,3,Mid,"graph_algorithms,data_structures","prim,vertex selection",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
140,System Design,Caching,When is Cache-aside caching most appropriate?,All scenarios,Read-heavy workloads,Never recommended,Only for small data,B,Cache-aside caching works best for Read-heavy workloads.,4,Senior,"caching,system_design","cache-aside,caching,strategy",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
141,System Design,Caching,When is Write-through caching most appropriate?,All scenarios,Data consistency,Never recommended,Only for small data,B,Write-through caching works best for Data consistency.,4,Senior,"caching,system_design","write-through,caching,strategy",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
142,System Design,Caching,When is Write-behind caching most appropriate?,All scenarios,Write performance,Never recommended,Only for small data,B,Write-behind caching works best for Write performance.,4,Senior,"caching,system_design","write-behind,caching,strategy",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
143,System Design,Caching,When is Refresh-ahead caching most appropriate?,All scenarios,Predictable access patterns,Never recommended,Only for small data,B,Refresh-ahead caching works best for Predictable access patterns.,4,Senior,"caching,system_design","refresh-ahead,caching,strategy",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
144,System Design,Database Scaling,What is the primary benefit of Read Replicas?,Reduced storage,Read-heavy applications,Better security,Easier development,B,Read Replicas provides Scale read operations for Read-heavy applications.,4,Senior,"database_scaling,system_design","read replicas,database,scaling",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
145,System Design,Database Scaling,What is the primary benefit of Sharding?,Reduced storage,Large datasets,Better security,Easier development,B,Sharding provides Horizontal partitioning for Large datasets.,4,Senior,"database_scaling,system_design","sharding,database,scaling",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
146,System Design,Database Scaling,What is the primary benefit of Federation?,Reduced storage,Microservices,Better security,Easier development,B,Federation provides Split databases by function for Microservices.,4,Senior,"database_scaling,system_design","federation,database,scaling",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
147,System Design,Database Scaling,What is the primary benefit of Denormalization?,Reduced storage,Performance optimization,Better security,Easier development,B,Denormalization provides Reduce joins for Performance optimization.,4,Senior,"database_scaling,system_design","denormalization,database,scaling",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
148,Data Structures & Algorithms,Trees,Which traversal is most suitable for Maximum depth?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Maximum depth requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","maximum depth,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
149,Data Structures & Algorithms,Trees,Which traversal is most suitable for Minimum depth?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Minimum depth requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","minimum depth,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
150,Data Structures & Algorithms,Trees,Which traversal is most suitable for Symmetric tree?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Symmetric tree requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","symmetric tree,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
151,Data Structures & Algorithms,Trees,Which traversal is most suitable for Path sum?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Path sum requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","path sum,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
152,Data Structures & Algorithms,Trees,Which traversal is most suitable for Invert tree?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Invert tree requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","invert tree,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
153,Data Structures & Algorithms,Trees,Which traversal is most suitable for Same tree?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Same tree requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","same tree,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
154,Data Structures & Algorithms,Trees,Which traversal is most suitable for Subtree of another tree?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Subtree of another tree requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","subtree of another tree,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
155,Data Structures & Algorithms,Trees,Which traversal is most suitable for Diameter of tree?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Diameter of tree requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","diameter of tree,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
156,Data Structures & Algorithms,Trees,Which traversal is most suitable for Balanced tree?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Balanced tree requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","balanced tree,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
157,Data Structures & Algorithms,Trees,Which traversal is most suitable for Maximum path sum?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Maximum path sum requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","maximum path sum,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
158,Data Structures & Algorithms,Trees,Which traversal is most suitable for Serialize and deserialize?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Serialize and deserialize requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","serialize and deserialize,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
159,Data Structures & Algorithms,Trees,Which traversal is most suitable for Construct from preorder?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Construct from preorder requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","construct from preorder,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
160,Data Structures & Algorithms,Trees,Which traversal is most suitable for Validate BST?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Validate BST requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","validate bst,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
161,Data Structures & Algorithms,Trees,Which traversal is most suitable for Kth smallest in BST?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Kth smallest in BST requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","kth smallest in bst,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
162,Data Structures & Algorithms,Trees,Which traversal is most suitable for Lowest common ancestor?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Lowest common ancestor requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","lowest common ancestor,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
163,Data Structures & Algorithms,Trees,Which traversal is most suitable for Binary tree paths?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Binary tree paths requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","binary tree paths,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
164,Data Structures & Algorithms,Trees,Which traversal is most suitable for Sum root to leaf?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Sum root to leaf requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","sum root to leaf,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
165,Data Structures & Algorithms,Trees,Which traversal is most suitable for Flatten to linked list?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Flatten to linked list requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","flatten to linked list,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
166,Data Structures & Algorithms,Trees,Which traversal is most suitable for Zigzag level order?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Zigzag level order requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","zigzag level order,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
167,Data Structures & Algorithms,Trees,Which traversal is most suitable for Vertical order traversal?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Vertical order traversal requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","vertical order traversal,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
168,Data Structures & Algorithms,Trees,Which traversal is most suitable for Count complete tree nodes?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Count complete tree nodes requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","count complete tree nodes,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
169,Data Structures & Algorithms,Trees,Which traversal is most suitable for Most frequent subtree sum?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Most frequent subtree sum requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","most frequent subtree sum,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
170,Data Structures & Algorithms,Trees,Which traversal is most suitable for Find duplicate subtrees?,Always preorder,Depends on problem,Always inorder,Always postorder,B,Find duplicate subtrees requires choosing the appropriate traversal based on when information is needed.,4,Senior,"trees,traversal","find duplicate subtrees,tree",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
171,System Design,Distributed Systems,What is the primary purpose of Consistent Hashing?,Data storage,Distribute data evenly across nodes,User authentication,Code compilation,B,Consistent Hashing is used for Distribute data evenly across nodes to achieve Scalable partitioning.,4,Senior,distributed_systems,consistent hashing,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
172,System Design,Distributed Systems,When would you implement Consistent Hashing?,Single server apps,Distributed systems needing scalable partitioning,Local development,Testing only,B,Consistent Hashing is essential when building distributed systems that require scalable partitioning.,4,Senior,distributed_systems,consistent hashing,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
173,System Design,Distributed Systems,What is the primary purpose of Vector Clocks?,Data storage,Track causal relationships,User authentication,Code compilation,B,Vector Clocks is used for Track causal relationships to achieve Distributed ordering.,4,Senior,distributed_systems,vector clocks,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
174,System Design,Distributed Systems,When would you implement Vector Clocks?,Single server apps,Distributed systems needing distributed ordering,Local development,Testing only,B,Vector Clocks is essential when building distributed systems that require distributed ordering.,4,Senior,distributed_systems,vector clocks,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
175,System Design,Distributed Systems,What is the primary purpose of Gossip Protocol?,Data storage,Spread information in network,User authentication,Code compilation,B,Gossip Protocol is used for Spread information in network to achieve Fault tolerance.,4,Senior,distributed_systems,gossip protocol,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
176,System Design,Distributed Systems,When would you implement Gossip Protocol?,Single server apps,Distributed systems needing fault tolerance,Local development,Testing only,B,Gossip Protocol is essential when building distributed systems that require fault tolerance.,4,Senior,distributed_systems,gossip protocol,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
177,System Design,Distributed Systems,What is the primary purpose of Raft Consensus?,Data storage,Leader election algorithm,User authentication,Code compilation,B,Raft Consensus is used for Leader election algorithm to achieve Consistency.,4,Senior,distributed_systems,raft consensus,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
178,System Design,Distributed Systems,When would you implement Raft Consensus?,Single server apps,Distributed systems needing consistency,Local development,Testing only,B,Raft Consensus is essential when building distributed systems that require consistency.,4,Senior,distributed_systems,raft consensus,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
179,System Design,Distributed Systems,What is the primary purpose of Byzantine Fault Tolerance?,Data storage,Handle malicious nodes,User authentication,Code compilation,B,Byzantine Fault Tolerance is used for Handle malicious nodes to achieve Security.,4,Senior,distributed_systems,byzantine fault tolerance,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
180,System Design,Distributed Systems,When would you implement Byzantine Fault Tolerance?,Single server apps,Distributed systems needing security,Local development,Testing only,B,Byzantine Fault Tolerance is essential when building distributed systems that require security.,4,Senior,distributed_systems,byzantine fault tolerance,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
181,System Design,Distributed Systems,What is the primary purpose of Eventual Consistency?,Data storage,All replicas converge eventually,User authentication,Code compilation,B,Eventual Consistency is used for All replicas converge eventually to achieve Availability.,4,Senior,distributed_systems,eventual consistency,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
182,System Design,Distributed Systems,When would you implement Eventual Consistency?,Single server apps,Distributed systems needing availability,Local development,Testing only,B,Eventual Consistency is essential when building distributed systems that require availability.,4,Senior,distributed_systems,eventual consistency,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
183,System Design,Distributed Systems,What is the primary purpose of Quorum?,Data storage,Majority voting for operations,User authentication,Code compilation,B,Quorum is used for Majority voting for operations to achieve Consistency.,4,Senior,distributed_systems,quorum,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
184,System Design,Distributed Systems,When would you implement Quorum?,Single server apps,Distributed systems needing consistency,Local development,Testing only,B,Quorum is essential when building distributed systems that require consistency.,4,Senior,distributed_systems,quorum,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
185,System Design,Distributed Systems,What is the primary purpose of Circuit Breaker?,Data storage,Prevent cascade failures,User authentication,Code compilation,B,Circuit Breaker is used for Prevent cascade failures to achieve Resilience.,4,Senior,distributed_systems,circuit breaker,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
186,System Design,Distributed Systems,When would you implement Circuit Breaker?,Single server apps,Distributed systems needing resilience,Local development,Testing only,B,Circuit Breaker is essential when building distributed systems that require resilience.,4,Senior,distributed_systems,circuit breaker,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
187,System Design,Distributed Systems,What is the primary purpose of Bulkhead Pattern?,Data storage,Isolate resources,User authentication,Code compilation,B,Bulkhead Pattern is used for Isolate resources to achieve Fault isolation.,4,Senior,distributed_systems,bulkhead pattern,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
188,System Design,Distributed Systems,When would you implement Bulkhead Pattern?,Single server apps,Distributed systems needing fault isolation,Local development,Testing only,B,Bulkhead Pattern is essential when building distributed systems that require fault isolation.,4,Senior,distributed_systems,bulkhead pattern,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
189,System Design,Distributed Systems,What is the primary purpose of CQRS?,Data storage,Command Query Responsibility Segregation,User authentication,Code compilation,B,CQRS is used for Command Query Responsibility Segregation to achieve Scalability.,4,Senior,distributed_systems,cqrs,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
190,System Design,Distributed Systems,When would you implement CQRS?,Single server apps,Distributed systems needing scalability,Local development,Testing only,B,CQRS is essential when building distributed systems that require scalability.,4,Senior,distributed_systems,cqrs,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
191,System Design,Database Design,What problem does Database per Service solve?,Code organization,Database scalability and design,User interface,Network routing,B,Database per Service addresses database challenges by Each microservice has its own database for Service independence.,4,Senior,database_design,database per service,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
192,System Design,Database Design,What problem does Saga Pattern solve?,Code organization,Database scalability and design,User interface,Network routing,B,Saga Pattern addresses database challenges by Manage distributed transactions for Data consistency.,4,Senior,database_design,saga pattern,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
193,System Design,Database Design,What problem does Event Sourcing solve?,Code organization,Database scalability and design,User interface,Network routing,B,Event Sourcing addresses database challenges by Store events instead of current state for Audit trail.,4,Senior,database_design,event sourcing,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
194,System Design,Database Design,What problem does CQRS solve?,Code organization,Database scalability and design,User interface,Network routing,B,CQRS addresses database challenges by Separate read and write models for Performance optimization.,4,Senior,database_design,cqrs,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
195,System Design,Database Design,What problem does Database Sharding solve?,Code organization,Database scalability and design,User interface,Network routing,B,Database Sharding addresses database challenges by Horizontal partitioning for Scale beyond single machine.,4,Senior,database_design,database sharding,MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
